index,COOPERATIVA,CPF,CONTA,CONTRATO,DSPRODUTO,DTCONTRATO,VLCONTRATO,VLPARCELA,QTPARCELAS
6113,B,64988,77586,79444,Empréstimo,2020-04-13 00:00:00,1111.8,51.0,24.0
6114,B,66914,87053,83244,Empréstimo,2020-08-17 00:00:00,6334.2,183.6,48.0
6115,B,68651,114253,106986,Empréstimo,2021-12-15 00:00:00,2478.6,91.8,48.0
6116,B,69831,117020,91449,Empréstimo,2021-03-04 00:00:00,2662.2,112.2,36.0
6117,B,73665,85744,105774,Empréstimo,2021-11-22 00:00:00,8486.4,1020.0,10.0
6118,B,74152,121530,99008,Empréstimo,2021-07-30 00:00:00,4885.8,91.8,72.0
6119,B,76394,107239,99674,Empréstimo,2021-08-09 00:00:00,2223.6,91.8,36.0
6120,B,81159,98521,101706,Financiamento,2021-09-16 00:00:00,1438.2,81.6,24.0
6121,B,89700,120617,105618,Empréstimo,2021-11-18 00:00:00,2550.0,142.8,27.0
6122,B,90586,55591,97128,Financiamento,2021-07-20 00:00:00,6436.2,255.0,36.0
6123,B,90790,113701,86061,Financiamento,2020-10-28 00:00:00,4712.4,244.8,24.0
6124,B,111631,120665,94869,Financiamento,2021-05-11 00:00:00,3774.0,122.4,48.0
6125,B,112131,109446,103860,Empréstimo,2021-10-19 00:00:00,479.4,20.4,48.0
6126,B,120086,89537,87555,Empréstimo,2020-12-10 00:00:00,1213.8,61.2,24.0
6127,B,127050,83615,80512,Financiamento,2020-05-28 00:00:00,12505.2,469.2,36.0
6128,B,130727,112691,93046,Financiamento,2021-04-12 00:00:00,4936.8,153.0,48.0
6129,B,132894,99011,84765,Financiamento,2020-09-22 00:00:00,3600.6,122.4,48.0
6130,B,138859,74169,271186,Empréstimo,2020-05-11 00:00:00,204.0,20.4,10.0
6131,B,146877,109836,88502,Empréstimo,2020-12-30 00:00:00,2376.6,81.6,48.0
6132,B,154878,88926,91018,Financiamento,2021-02-26 00:00:00,2713.2,142.8,24.0
6133,B,159665,92979,83038,Financiamento,2020-08-05 00:00:00,6426.0,244.8,36.0
6134,B,160637,59549,74,Empréstimo,2017-04-20 00:00:00,1846.2,71.4,48.0
6135,B,162867,27178,73636,Empréstimo,2019-01-31 00:00:00,1489.2,51.0,48.0
6136,B,177380,112001,97859,Financiamento,2021-07-07 00:00:00,2835.6,153.0,24.0
6137,B,179077,116704,101794,Financiamento,2021-10-20 00:00:00,846.6,0.0,0.0
6138,B,182888,100052,96179,Financiamento,2021-06-04 00:00:00,4294.2,224.4,24.0
6139,B,195023,115638,92779,Empréstimo,2021-03-30 00:00:00,306.0,40.8,10.0
6140,B,205518,42984,106239,Empréstimo,2021-11-29 00:00:00,3182.4,132.6,46.0
6141,B,213419,116633,88538,Financiamento,2021-01-04 00:00:00,5355.0,163.2,48.0
6142,B,226055,107203,105188,Financiamento,2021-11-16 00:00:00,3437.4,122.4,48.0
6143,B,230392,65474,84992,Financiamento,2020-10-07 00:00:00,6640.2,214.2,48.0
6144,B,232744,78934,91133,Empréstimo,2021-02-26 00:00:00,754.8,91.8,10.0
6145,B,234555,23147,304291,Empréstimo,2020-06-08 00:00:00,3437.4,142.8,36.0
6146,B,238103,115071,102641,Empréstimo,2021-09-28 00:00:00,91.8,0.0,48.0
6147,B,245666,47537,72401,Empréstimo,2018-08-30 00:00:00,4324.8,173.4,36.0
6148,B,250906,104851,92764,Empréstimo,2021-03-30 00:00:00,428.4,51.0,10.0
6149,B,252873,64992,85739,Empréstimo,2020-10-20 00:00:00,1356.6,40.8,50.0
6150,B,253361,115692,95433,Empréstimo,2021-05-21 00:00:00,2223.6,122.4,24.0
6151,B,255762,106120,107098,Empréstimo,2021-12-27 00:00:00,4926.6,193.8,48.0
6152,B,258854,52799,76849,Financiamento,2019-11-26 00:00:00,16921.8,499.8,48.0
6153,B,266703,87056,93376,Empréstimo,2021-05-06 00:00:00,1785.0,91.8,24.0
6154,B,268806,104112,83720,Empréstimo,2020-08-24 00:00:00,887.4,30.6,48.0
6155,B,274251,72443,86548,Empréstimo,2020-11-24 00:00:00,4284.0,153.0,48.0
6156,B,274569,111206,84494,Empréstimo,2020-09-14 00:00:00,7150.2,306.0,36.0
6157,B,275362,61477,105214,Empréstimo,2021-11-16 00:00:00,479.4,51.0,12.0
6158,B,281440,82351,77552,Financiamento,2020-01-14 00:00:00,8486.4,306.0,36.0
6159,B,287327,67917,88846,Financiamento,2021-01-14 00:00:00,2162.4,112.2,24.0
6160,B,293831,119687,95247,Empréstimo,2021-05-18 00:00:00,4457.4,102.0,60.0
6161,B,295820,34859,80934,Empréstimo,2020-06-18 00:00:00,22348.2,714.0,48.0
6162,B,309066,120111,94170,Financiamento,2021-05-14 00:00:00,37882.8,958.8,60.0
6163,B,310198,100120,79919,Empréstimo,2020-04-27 00:00:00,6762.6,214.2,48.0
6164,B,313459,65897,92826,Empréstimo,2021-03-30 00:00:00,918.0,112.2,10.0
6165,B,313856,87152,73178,Empréstimo,2018-12-07 00:00:00,2203.2,122.4,24.0
6166,B,314328,115432,105624,Empréstimo,2021-11-19 00:00:00,1438.2,234.6,7.0
6167,B,319431,102104,85422,Financiamento,2020-10-20 00:00:00,5395.8,142.8,60.0
6168,B,325113,114097,87679,Financiamento,2020-12-11 00:00:00,6038.4,193.8,48.0
6169,B,328233,92789,93220,Empréstimo,2021-04-08 00:00:00,7078.8,295.8,36.0
6170,B,338700,72986,90710,Financiamento,2021-02-23 00:00:00,9465.6,306.0,48.0
6171,B,340023,118791,97867,Empréstimo,2021-07-05 00:00:00,4426.8,153.0,48.0
6172,B,340108,83999,95935,Empréstimo,2021-05-31 00:00:00,2794.8,326.4,10.0
6173,B,342493,75669,86366,Empréstimo,2020-11-04 00:00:00,887.4,81.6,12.0
6174,B,353066,66191,82432,Financiamento,2020-07-22 00:00:00,4284.0,153.0,48.0
6175,B,357967,105859,98439,Financiamento,2021-07-15 00:00:00,3437.4,132.6,36.0
6176,B,369239,75746,89801,Empréstimo,2021-01-29 00:00:00,10.2,0.0,10.0
6177,B,378286,62132,103367,Empréstimo,2021-10-08 00:00:00,3559.8,132.6,48.0
6178,B,378431,122061,106008,Empréstimo,2021-11-29 00:00:00,6711.6,193.8,48.0
6179,B,382597,108161,96149,Financiamento,2021-06-07 00:00:00,8578.2,285.6,48.0
6180,B,382922,109574,85451,Empréstimo,2020-10-09 00:00:00,2162.4,71.4,48.0
6181,B,390381,87034,85407,Empréstimo,2020-10-09 00:00:00,499.8,81.6,7.0
6182,B,390710,106490,97980,Empréstimo,2021-07-07 00:00:00,5763.0,204.0,48.0
6183,B,398434,120994,107484,Financiamento,2021-12-21 00:00:00,3641.4,285.6,15.0
6184,B,398842,102489,77800,Financiamento,2020-01-29 00:00:00,5375.4,173.4,48.0
6185,B,399179,84193,84445,Financiamento,2020-09-17 00:00:00,8904.6,275.4,48.0
6186,B,402931,115654,92934,Empréstimo,2021-04-01 00:00:00,479.4,30.6,24.0
6187,B,404146,46083,95663,Empréstimo,2021-05-26 00:00:00,765.0,91.8,10.0
6188,B,404355,102094,89243,Empréstimo,2021-01-14 00:00:00,907.8,91.8,12.0
6189,B,411282,121873,103677,Empréstimo,2021-10-15 00:00:00,3682.2,163.2,36.0
6190,B,412471,64473,187860,Empréstimo,2019-10-01 00:00:00,907.8,51.0,24.0
6191,B,418693,120757,103478,Empréstimo,2021-10-13 00:00:00,948.6,51.0,24.0
6192,B,419399,77918,90886,Empréstimo,2021-02-23 00:00:00,173.4,20.4,12.0
6193,B,438320,113512,86080,Financiamento,2020-10-28 00:00:00,8557.8,326.4,36.0
6194,B,450204,103867,79978,Financiamento,2020-04-30 00:00:00,8700.6,275.4,48.0
6195,B,470134,105027,102251,Empréstimo,2021-11-09 00:00:00,6140.4,122.4,96.0
6196,B,472747,102197,91040,Empréstimo,2021-02-26 00:00:00,102.0,10.2,12.0
6197,B,474601,104397,79322,Empréstimo,2020-04-08 00:00:00,428.4,40.8,13.0
6198,B,482640,102847,95409,Financiamento,2021-05-24 00:00:00,8486.4,265.2,48.0
6199,B,483941,102014,87317,Empréstimo,2020-11-30 00:00:00,91.8,10.2,10.0
6200,B,493546,119551,92717,Financiamento,2021-04-01 00:00:00,8486.4,265.2,48.0
6201,B,496463,97503,80899,Empréstimo,2020-05-29 00:00:00,153.0,20.4,10.0
6202,B,497666,117219,104746,Financiamento,2021-11-05 00:00:00,3855.6,204.0,24.0
6203,B,499376,97484,206066,Empréstimo,2019-12-20 00:00:00,1122.0,40.8,48.0
6204,B,501977,98288,76443,Financiamento,2019-11-29 00:00:00,14065.8,397.8,48.0
6205,B,502743,102966,97488,Empréstimo,2021-06-28 00:00:00,275.4,30.6,10.0
6206,B,508026,58429,103240,Financiamento,2021-10-21 00:00:00,4243.2,0.0,0.0
6207,B,508413,101524,102991,Financiamento,2021-10-01 00:00:00,4722.6,193.8,36.0
6208,B,512150,92470,80222,Financiamento,2020-05-06 00:00:00,3437.4,214.2,20.0
6209,B,517753,49447,75513,Financiamento,2019-07-25 00:00:00,4702.2,193.8,36.0
6210,B,523043,106362,81354,Financiamento,2020-06-23 00:00:00,14606.4,479.4,48.0
6211,B,526763,83568,96461,Empréstimo,2021-06-09 00:00:00,2223.6,122.4,24.0
6212,B,528038,119583,94250,Empréstimo,2021-04-28 00:00:00,918.0,40.8,36.0
6213,B,529867,64188,100460,Empréstimo,2021-08-20 00:00:00,1744.2,61.2,48.0
6214,B,531027,99042,94596,Financiamento,2021-05-06 00:00:00,4722.6,244.8,24.0
6215,B,531620,110970,89300,Financiamento,2021-01-19 00:00:00,3855.6,122.4,48.0
6216,B,534147,105308,102002,Financiamento,2021-09-17 00:00:00,8486.4,295.8,48.0
6217,B,534843,113873,90892,Empréstimo,2021-02-24 00:00:00,907.8,91.8,12.0
6218,B,535264,116787,91709,Empréstimo,2021-03-11 00:00:00,907.8,91.8,12.0
6219,B,536397,103245,78320,Financiamento,2020-03-06 00:00:00,13882.2,418.2,48.0
6220,B,538990,98263,81076,Empréstimo,2020-06-09 00:00:00,397.8,51.0,10.0
6221,B,539729,121560,106142,Empréstimo,2021-11-29 00:00:00,754.8,30.6,48.0
6222,B,558233,30700,84820,Empréstimo,2020-09-22 00:00:00,6426.0,244.8,36.0
6223,B,562682,82761,84167,Empréstimo,2020-09-10 00:00:00,6426.0,265.2,36.0
6224,B,564164,85072,74979,Financiamento,2019-06-14 00:00:00,8476.2,346.8,36.0
6225,B,566384,104318,101178,Empréstimo,2021-09-01 00:00:00,642.6,30.6,48.0
6226,B,568968,121153,97939,Empréstimo,2021-07-07 00:00:00,2437.8,132.6,24.0
6227,B,572798,119744,93524,Financiamento,2021-04-14 00:00:00,6171.0,316.2,24.0
6228,B,573247,77020,107844,Empréstimo,2021-12-29 00:00:00,622.2,30.6,48.0
6229,B,580682,99904,103437,Empréstimo,2021-10-11 00:00:00,693.6,71.4,12.0
6230,B,589707,119575,104433,Financiamento,2021-10-29 00:00:00,3641.4,153.0,36.0
6231,B,594466,108554,91830,Financiamento,2021-03-16 00:00:00,2376.6,91.8,36.0
6232,B,598530,121491,107134,Financiamento,2021-12-23 00:00:00,7293.0,295.8,36.0
6233,B,602613,70645,75281,Empréstimo,2019-07-19 00:00:00,18309.0,448.8,60.0
6234,B,616983,92983,83245,Empréstimo,2020-08-11 00:00:00,2091.0,81.6,36.0
6235,B,619680,78963,80458,Financiamento,2020-05-20 00:00:00,11934.0,214.2,120.0
6236,B,619773,89829,101014,Financiamento,2021-08-31 00:00:00,6436.2,204.0,48.0
6237,B,620762,118313,102575,Financiamento,2021-09-30 00:00:00,8088.6,438.6,24.0
6238,B,637061,62266,101051,Financiamento,2021-12-21 00:00:00,2580.6,112.2,36.0
6239,B,646569,84680,95261,Empréstimo,2021-05-17 00:00:00,1326.0,122.4,12.0
6240,B,649749,109509,105072,Financiamento,2021-11-09 00:00:00,255.0,20.4,12.0
6241,B,654365,26226,89645,Financiamento,2021-02-19 00:00:00,1377.0,122.4,12.0
6242,B,660670,64163,80446,Empréstimo,2020-05-12 00:00:00,561.0,51.0,12.0
6243,B,660705,76265,86496,Empréstimo,2020-11-09 00:00:00,2580.6,295.8,10.0
6244,B,666271,68513,86224,Empréstimo,2020-10-30 00:00:00,153.0,20.4,10.0
6245,B,673199,68682,79625,Financiamento,2020-04-23 00:00:00,2560.2,142.8,24.0
6246,B,673509,102970,87333,Empréstimo,2020-11-30 00:00:00,255.0,30.6,10.0
6247,B,673546,102479,103951,Empréstimo,2021-10-20 00:00:00,2335.8,112.2,30.0
6248,B,676184,105087,88273,Empréstimo,2020-12-21 00:00:00,255.0,20.4,12.0
6249,B,691616,76623,72944,Financiamento,2018-11-09 00:00:00,8486.4,285.6,48.0
6250,B,707698,96435,82154,Financiamento,2020-07-21 00:00:00,14300.4,448.8,48.0
6251,B,708087,82938,102449,Empréstimo,2021-09-24 00:00:00,6487.2,234.6,48.0
6252,B,708409,108560,107648,Financiamento,2021-12-27 00:00:00,122.4,40.8,3.0
6253,B,708877,97486,81268,Financiamento,2020-06-26 00:00:00,2284.8,81.6,36.0
6254,B,714779,110416,103651,Empréstimo,2021-10-15 00:00:00,3131.4,122.4,36.0
6255,B,718845,85091,89379,Financiamento,2021-01-22 00:00:00,2376.6,224.4,12.0
6256,B,726949,102280,96236,Financiamento,2021-06-08 00:00:00,1948.2,102.0,24.0
