DTBASE;COOPERATIVA;CPF;CONTA;CONTRATO;DSPRODUTO;DTCONTRATO;VLCONTRATO;SDDEVEDOR;QTDIASATRASO;SDATRASO;VLPROVISAO
31/01/2021;A;16520;382094;328305;Financiamento;23/12/2020;33.935,40;34.170,00;0;0,00;204,00
31/01/2021;A;16784;306778;183965;Empréstimo;11/09/2019;3.223,20;2.529,60;0;0,00;10,20
31/01/2021;A;16926;427016;165721;Empréstimo;07/06/2019;2.366,40;1.366,80;198;1.366,80;816,00
31/01/2021;A;16977;486134;255204;Empréstimo;01/10/2020;163,20;163,20;0;0,00;10,20
31/01/2021;A;17016;829;264612;Empréstimo;08/04/2020;132,60;142,80;0;0,00;10,20
31/01/2021;A;17660;575094;358486;Empréstimo;02/09/2020;2.988,60;2.468,40;0;0,00;10,20
31/01/2021;A;18387;721344;403003;Empréstimo;09/11/2020;255,00;214,20;19;214,20;51,00
31/01/2021;A;18445;163512;289074;Empréstimo;04/05/2020;12.801,00;10.404,00;0;0,00;30,60
31/01/2021;A;19001;137989;414629;Financiamento;30/11/2020;4.263,60;4.263,60;0;0,00;10,20
31/01/2021;A;19130;132772;288479;Empréstimo;06/05/2020;16.972,80;13.790,40;0;0,00;40,80
31/01/2021;A;19545;455596;162412;Empréstimo;17/05/2019;816,00;571,20;203;571,20;336,60
31/01/2021;A;19596;391333;412170;Financiamento;26/11/2020;15.065,40;15.514,20;0;0,00;51,00
31/01/2021;A;19714;253488;149921;Financiamento;21/02/2019;2.988,60;1.938,00;136;1.938,00;754,80
31/01/2021;A;20165;3180;394962;Empréstimo;09/11/2020;663,00;601,80;0;0,00;40,80
31/01/2021;A;20563;402774;417555;Empréstimo;30/11/2020;3.304,80;3.253,80;0;0,00;10,20
31/01/2021;A;20690;567514;410567;Financiamento;18/11/2020;1.071,00;1.040,40;0;0,00;10,20
31/01/2021;A;20839;376211;175046;Empréstimo;25/07/2019;10.608,00;6.324,00;0;0,00;20,40
31/01/2021;A;20854;504794;450613;Empréstimo;13/01/2021;8.782,20;8.884,20;0;0,00;51,00
31/01/2021;A;20904;433051;355791;Empréstimo;28/08/2020;805,80;428,40;0;0,00;30,60
31/01/2021;A;21054;473237;440161;Financiamento;30/12/2020;8.486,40;8.608,80;0;0,00;30,60
31/01/2021;A;21249;323519;227945;Empréstimo;10/02/2020;1.540,20;1.468,80;111;1.468,80;346,80
31/01/2021;A;21408;330473;326159;Empréstimo;10/07/2020;530,40;540,60;0;0,00;214,20
31/01/2021;A;21648;585124;324563;Empréstimo;09/07/2020;3.967,80;3.733,20;0;0,00;20,40
31/01/2021;A;21787;149529;397911;Empréstimo;30/10/2020;306,00;306,00;0;0,00;173,40
31/01/2021;A;21853;137949;323299;Empréstimo;08/07/2020;2.815,20;2.682,60;0;0,00;20,40
31/01/2021;A;21900;180401;382541;Financiamento;19/10/2020;8.486,40;8.139,60;0;0,00;20,40
31/01/2021;A;22333;161297;284611;Empréstimo;27/04/2020;2.131,80;1.795,20;0;0,00;10,20
31/01/2021;A;22336;427726;353723;Empréstimo;27/08/2020;2.937,60;2.876,40;0;0,00;10,20
31/01/2021;A;22495;558324;267197;Empréstimo;08/04/2020;20,40;20,40;0;0,00;10,20
31/01/2021;A;22730;641484;344858;Financiamento;13/08/2020;8.680,20;8.486,40;0;0,00;20,40
31/01/2021;A;22784;368787;336566;Empréstimo;27/07/2020;428,40;214,20;0;0,00;51,00
31/01/2021;A;23300;137616;148879;Empréstimo;14/02/2019;3.519,00;2.060,40;0;0,00;10,20
31/01/2021;A;23491;356698;136456;Empréstimo;18/06/2020;387,60;357,00;14;357,00;142,80
31/01/2021;A;23646;261478;337882;Empréstimo;17/11/2020;275,40;285,60;9;285,60;71,40
31/01/2021;A;24033;186241;328848;Empréstimo;15/07/2020;5.548,80;5.232,60;0;0,00;20,40
31/01/2021;A;24197;156719;444923;Empréstimo;07/01/2021;5.293,80;5.355,00;0;0,00;30,60
31/01/2021;A;24275;139590;148290;Empréstimo;19/02/2019;3.661,80;2.131,80;0;0,00;10,20
31/01/2021;A;24432;124216;184945;Empréstimo;16/09/2019;7.711,20;5.905,80;0;0,00;30,60
31/01/2021;A;24482;329950;214394;Financiamento;15/04/2020;127.438,80;127.806,00;0;0,00;377,40
31/01/2021;A;25002;120779;390177;Empréstimo;20/10/2020;1.275,00;1.203,60;0;0,00;10,20
31/01/2021;A;25083;254830;241954;Empréstimo;07/04/2020;5.885,40;4.406,40;0;0,00;10,20
31/01/2021;A;25118;721645;143018;Empréstimo;28/12/2018;5.518,20;2.050,20;0;0,00;10,20
31/01/2021;A;25249;364159;355705;Empréstimo;28/08/2020;204,00;214,20;150;214,20;122,40
31/01/2021;A;25511;132391;295265;Empréstimo;18/05/2020;4.681,80;4.192,20;0;0,00;10,20
31/01/2021;A;25647;471334;133565;Empréstimo;05/09/2018;7.935,60;2.397,00;0;0,00;40,80
31/01/2021;A;25768;636491;361981;Financiamento;11/09/2020;8.904,60;7.905,00;0;0,00;20,40
31/01/2021;A;25869;229996;282498;Empréstimo;23/04/2020;785,40;836,40;0;0,00;10,20
31/01/2021;A;25927;720814;181374;Empréstimo;28/08/2019;7.038,00;4.488,00;0;0,00;10,20
31/01/2021;A;25974;612352;352138;Empréstimo;26/08/2020;3.417,00;2.968,20;0;0,00;51,00
31/01/2021;A;26038;380625;123780;Empréstimo;24/04/2018;6.364,80;3.794,40;4;3.794,40;71,40
31/01/2021;A;26135;415699;160652;Empréstimo;06/05/2019;4.457,40;2.448,00;0;0,00;10,20
31/01/2021;A;26280;266589;398338;Financiamento;05/11/2020;5.926,20;5.518,20;0;0,00;20,40
31/01/2021;A;26789;318907;367572;Empréstimo;16/09/2020;4.263,60;3.906,60;0;0,00;20,40
31/01/2021;A;27093;642148;348656;Empréstimo;17/08/2020;2.131,80;1.315,80;0;0,00;10,20
31/01/2021;A;27235;537039;287361;Empréstimo;30/04/2020;234,60;224,40;242;224,40;132,60
31/01/2021;A;27290;213558;192236;Financiamento;14/10/2019;8.904,60;6.956,40;0;0,00;20,40
31/01/2021;A;27455;196018;261238;Empréstimo;07/04/2020;846,60;897,60;0;0,00;10,20
31/01/2021;A;27654;523735;152602;Empréstimo;04/09/2020;2.182,80;2.060,40;0;0,00;479,40
31/01/2021;A;27769;559792;232686;Financiamento;14/05/2020;1.275,00;1.111,80;0;0,00;61,20
31/01/2021;A;27772;649154;463799;Empréstimo;29/01/2021;1.203,60;1.203,60;0;0,00;71,40
31/01/2021;A;28235;295806;349592;Empréstimo;27/08/2020;17.380,80;16.881,00;0;0,00;102,00
31/01/2021;A;28417;163752;253406;Empréstimo;03/04/2020;867,00;918,00;0;0,00;540,60
31/01/2021;A;28555;418645;138613;Financiamento;08/11/2018;846,60;132,60;141;132,60;51,00
31/01/2021;A;28630;347259;205182;Empréstimo;04/12/2019;1.142,40;897,60;0;0,00;10,20
31/01/2021;A;29041;305963;278793;Empréstimo;16/04/2020;122,40;132,60;0;0,00;71,40
31/01/2021;A;29109;426564;432191;Empréstimo;21/12/2020;3.845,40;3.957,60;0;0,00;71,40
31/01/2021;A;29539;355145;178109;Financiamento;12/08/2019;2.468,40;1.519,80;0;0,00;10,20
31/01/2021;A;29565;487106;406887;Empréstimo;13/11/2020;6.405,60;6.313,80;0;0,00;20,40
31/01/2021;A;29591;276593;182810;Empréstimo;10/09/2019;3.988,20;2.611,20;0;0,00;10,20
31/01/2021;A;29835;348911;127609;Empréstimo;29/05/2018;7.762,20;3.784,20;0;0,00;10,20
31/01/2021;A;29874;412037;191670;Empréstimo;14/10/2019;4.396,20;2.876,40;0;0,00;10,20
31/01/2021;A;30123;290010;115684;Empréstimo;31/08/2015;9.118,80;4.151,40;352;4.151,40;2.478,60
31/01/2021;A;30189;392344;322735;Empréstimo;07/07/2020;6.364,80;5.916,00;0;0,00;20,40
31/01/2021;A;30418;198159;338482;Empréstimo;30/07/2020;7.721,40;7.293,00;0;0,00;40,80
31/01/2021;A;30951;130416;247601;Empréstimo;01/04/2020;2.958,00;3.141,60;0;0,00;734,40
31/01/2021;A;31024;431214;434413;Empréstimo;21/12/2020;2.988,60;3.049,80;0;0,00;10,20
31/01/2021;A;31029;395866;395267;Empréstimo;27/10/2020;6.915,60;6.721,80;0;0,00;20,40
31/01/2021;A;31306;171492;119182;Empréstimo;25/09/2017;4.457,40;2.641,80;0;0,00;10,20
31/01/2021;A;31471;591263;349436;Empréstimo;17/08/2020;12.729,60;11.546,40;0;0,00;30,60
31/01/2021;A;31481;336507;349762;Financiamento;04/09/2020;1.825,80;1.856,40;19;1.856,40;30,60
31/01/2021;A;31523;270953;328341;Empréstimo;14/07/2020;244,80;255,00;0;0,00;61,20
31/01/2021;A;31842;425801;274856;Financiamento;17/04/2020;4.508,40;3.774,00;0;0,00;20,40
31/01/2021;A;31844;179434;428330;Empréstimo;14/12/2020;6.364,80;6.568,80;0;0,00;40,80
31/01/2021;A;31895;440344;230174;Empréstimo;14/02/2020;1.672,80;1.346,40;0;0,00;10,20
31/01/2021;A;32120;123542;314799;Empréstimo;30/06/2020;11.526,00;11.260,80;0;0,00;30,60
31/01/2021;A;32177;647177;413206;Empréstimo;25/11/2020;357,00;316,20;0;0,00;71,40
31/01/2021;A;32394;589957;341844;Empréstimo;05/08/2020;7.935,60;7.497,00;0;0,00;40,80
31/01/2021;A;32527;158174;219134;Empréstimo;17/01/2020;438,60;357,00;111;357,00;81,60
31/01/2021;A;32530;158177;177062;Empréstimo;07/08/2019;938,40;632,40;116;632,40;153,00
31/01/2021;A;32622;518907;151107;Empréstimo;01/03/2019;887,40;683,40;273;683,40;408,00
31/01/2021;A;33092;490423;379500;Empréstimo;05/10/2020;346,80;367,20;74;367,20;20,40
31/01/2021;A;33156;455634;361087;Empréstimo;16/09/2020;6.487,20;6.232,20;0;0,00;112,20
31/01/2021;A;33247;197443;332342;Empréstimo;20/07/2020;2.274,60;2.233,80;0;0,00;10,20
31/01/2021;A;33500;501901;451248;Financiamento;14/01/2021;2.988,60;3.009,00;0;0,00;10,20
31/01/2021;A;33631;98941;136847;Empréstimo;19/10/2018;7.670,40;4.141,20;0;0,00;244,80
31/01/2021;A;33636;160859;282542;Empréstimo;27/04/2020;2.845,80;2.386,80;0;0,00;10,20
31/01/2021;A;33942;318840;369024;Empréstimo;18/09/2020;6.364,80;5.508,00;0;0,00;20,40
31/01/2021;A;34354;614650;441276;Empréstimo;04/01/2021;6.599,40;6.721,80;0;0,00;122,40
31/01/2021;A;34452;620426;430508;Empréstimo;16/12/2020;3.366,00;3.457,80;0;0,00;61,20
31/01/2021;A;34456;76566;82561;Financiamento;07/06/2013;15.269,40;8.323,20;30;8.323,20;153,00
31/01/2021;A;35168;640890;381385;Empréstimo;08/10/2020;9.282,00;9.169,80;0;0,00;30,60
31/01/2021;A;36157;722449;342417;Empréstimo;05/08/2020;969,00;1.509,60;19;1.509,60;357,00
31/01/2021;A;36634;497768;221024;Empréstimo;24/01/2020;7.894,80;3.488,40;0;0,00;10,20
31/01/2021;A;36640;370266;264366;Empréstimo;08/04/2020;112,20;122,40;80;122,40;71,40
31/01/2021;A;36954;518268;159304;Empréstimo;24/04/2019;12.260,40;7.231,80;0;0,00;20,40
31/01/2021;A;37199;228754;148083;Financiamento;14/02/2019;5.548,80;3.519,00;0;0,00;10,20
31/01/2021;A;37201;197391;174493;Financiamento;24/07/2019;6.395,40;2.203,20;0;0,00;10,20
31/01/2021;A;37352;155679;314240;Financiamento;22/06/2020;4.926,60;4.743,00;0;0,00;30,60
31/01/2021;A;37547;465538;225956;Empréstimo;05/02/2020;438,60;387,60;111;387,60;214,20
31/01/2021;A;38098;462212;297836;Empréstimo;22/05/2020;4.906,20;4.498,20;0;0,00;10,20
31/01/2021;A;38398;253069;347880;Empréstimo;18/08/2020;2.386,80;1.978,80;0;0,00;30,60
31/01/2021;A;38560;415277;190380;Financiamento;10/10/2019;4.804,20;3.763,80;0;0,00;10,20
31/01/2021;A;38641;502637;267500;Empréstimo;08/04/2020;1.071,00;1.132,20;0;0,00;10,20
31/01/2021;A;38951;479623;153054;Empréstimo;18/03/2019;571,20;377,40;150;377,40;204,00
31/01/2021;A;38969;471877;304213;Empréstimo;29/05/2020;61,20;71,40;242;71,40;40,80
31/01/2021;A;38998;458899;243323;Empréstimo;24/03/2020;6.538,20;1.203,60;0;0,00;10,20
31/01/2021;A;39157;588986;463061;Empréstimo;28/01/2021;2.845,80;2.845,80;0;0,00;10,20
31/01/2021;A;39369;578013;287490;Empréstimo;30/04/2020;30,60;30,60;273;30,60;20,40
31/01/2021;A;39903;223413;284338;Empréstimo;27/04/2020;3.417,00;3.151,80;0;0,00;10,20
31/01/2021;A;39911;431370;313536;Empréstimo;22/06/2020;7.680,60;7.170,60;0;0,00;20,40
31/01/2021;A;39964;583445;419461;Empréstimo;01/12/2020;1.764,60;1.764,60;0;0,00;10,20
31/01/2021;A;40100;487522;199866;Empréstimo;14/11/2019;8.486,40;7.140,00;0;0,00;132,60
31/01/2021;A;40164;351350;293101;Empréstimo;11/05/2020;20,40;30,60;0;0,00;10,20
31/01/2021;A;40197;145678;326014;Empréstimo;10/07/2020;397,80;408,00;0;0,00;10,20
31/01/2021;A;40323;138789;169980;Financiamento;28/06/2019;5.253,00;4.702,20;203;4.702,20;2.805,00
31/01/2021;A;40340;232698;250651;Empréstimo;02/04/2020;1.611,60;1.713,60;0;0,00;10,20
31/01/2021;A;40486;516364;149119;Financiamento;19/02/2019;8.486,40;5.610,00;0;0,00;20,40
31/01/2021;A;40603;411301;351605;Financiamento;09/09/2020;8.680,20;8.935,20;0;0,00;30,60
31/01/2021;A;40999;218758;116245;Empréstimo;26/08/2016;10.393,80;1.009,80;0;0,00;601,80
31/01/2021;A;41233;499326;313694;Empréstimo;19/06/2020;16.207,80;15.045,00;0;0,00;40,80
31/01/2021;A;41294;336711;430017;Empréstimo;15/12/2020;4.906,20;4.845,00;0;0,00;10,20
31/01/2021;A;41453;223439;314705;Empréstimo;22/06/2020;397,80;408,00;0;0,00;20,40
31/01/2021;A;41902;2226;340226;Empréstimo;03/08/2020;1.907,40;1.805,40;0;0,00;10,20
31/01/2021;A;42164;287980;236187;Empréstimo;06/03/2020;13.464,00;12.250,20;0;0,00;40,80
31/01/2021;A;42182;326894;133172;Empréstimo;07/05/2020;163,20;153,00;50;153,00;81,60
31/01/2021;A;42217;182721;407380;Empréstimo;13/11/2020;4.243,20;4.171,80;0;0,00;10,20
31/01/2021;A;42257;364247;258358;Empréstimo;06/04/2020;40,80;40,80;0;0,00;10,20
31/01/2021;A;42811;441977;309743;Empréstimo;16/06/2020;8.486,40;7.486,80;0;0,00;20,40
31/01/2021;A;42935;538986;205355;Empréstimo;31/07/2020;1.652,40;1.601,40;0;0,00;958,80
31/01/2021;A;42953;638597;371840;Empréstimo;23/09/2020;2.590,80;2.539,80;0;0,00;10,20
31/01/2021;A;43343;496654;371908;Financiamento;23/09/2020;8.527,20;8.200,80;0;0,00;20,40
31/01/2021;A;43739;270068;461253;Empréstimo;29/01/2021;1.550,40;1.550,40;0;0,00;30,60
31/01/2021;A;44114;569631;194908;Empréstimo;24/10/2019;438,60;357,00;50;357,00;10,20
31/01/2021;A;44257;147559;406554;Empréstimo;12/11/2020;3.631,20;3.702,60;0;0,00;10,20
31/01/2021;A;44609;626325;445008;Empréstimo;07/01/2021;1.305,60;1.326,00;0;0,00;10,20
31/01/2021;A;44840;420839;257378;Empréstimo;06/04/2020;928,20;979,20;0;0,00;10,20
31/01/2021;A;45098;212143;287892;Empréstimo;30/04/2020;489,60;316,20;150;316,20;193,80
31/01/2021;A;45193;500424;354387;Empréstimo;26/08/2020;142,80;153,00;155;153,00;91,80
31/01/2021;A;45230;118753;446885;Empréstimo;20/01/2021;1.795,20;1.805,40;0;0,00;10,20
31/01/2021;A;45386;218124;229711;Empréstimo;13/02/2020;2.692,80;2.274,60;0;0,00;10,20
31/01/2021;A;45588;138457;306374;Empréstimo;05/06/2020;4.263,60;3.876,00;0;0,00;10,20
31/01/2021;A;45616;575699;463882;Empréstimo;29/01/2021;673,20;673,20;0;0,00;367,20
31/01/2021;A;46156;298824;240610;Empréstimo;13/03/2020;173,40;459,00;19;459,00;183,60
31/01/2021;A;46458;303063;159702;Empréstimo;29/04/2019;622,20;561,00;339;561,00;336,60
31/01/2021;A;46967;507578;344099;Empréstimo;07/08/2020;408,00;408,00;174;408,00;244,80
31/01/2021;A;47125;151061;419148;Empréstimo;30/11/2020;9.567,60;9.588,00;0;0,00;61,20
31/01/2021;A;47215;571152;266099;Empréstimo;08/04/2020;112,20;112,20;0;0,00;40,80
31/01/2021;A;47329;391934;145479;Empréstimo;21/01/2019;612,00;112,20;106;112,20;30,60
31/01/2021;A;47384;495826;189060;Empréstimo;03/10/2019;550,80;397,80;21;397,80;10,20
31/01/2021;A;47704;598611;347076;Empréstimo;12/08/2020;4.263,60;4.406,40;20;4.406,40;81,60
31/01/2021;A;47810;405579;233810;Empréstimo;27/02/2020;2.509,20;1.907,40;0;0,00;10,20
31/01/2021;A;48313;197074;364227;Empréstimo;16/09/2020;12.209,40;11.801,40;0;0,00;214,20
31/01/2021;A;48437;521190;171991;Financiamento;09/07/2019;3.355,80;2.264,40;0;0,00;10,20
31/01/2021;A;48831;464442;230966;Empréstimo;18/02/2020;8.619,00;7.446,00;0;0,00;132,60
31/01/2021;A;51273;593840;215878;Empréstimo;15/01/2020;1.091,40;775,20;236;775,20;459,00
31/01/2021;A;51482;372251;120232;Financiamento;04/12/2017;846,60;30,60;79;30,60;10,20
31/01/2021;A;51779;540928;240889;Empréstimo;13/03/2020;142,80;132,60;0;0,00;51,00
31/01/2021;A;52385;530402;395953;Financiamento;05/11/2020;6.691,20;6.783,00;0;0,00;20,40
31/01/2021;A;53232;189391;292647;Empréstimo;08/05/2020;387,60;408,00;0;0,00;163,20
31/01/2021;A;53413;453806;262722;Empréstimo;07/04/2020;387,60;418,20;0;0,00;20,40
31/01/2021;A;53670;231455;147553;Empréstimo;07/02/2019;4.069,80;2.682,60;0;0,00;51,00
31/01/2021;A;53849;237358;405309;Empréstimo;11/11/2020;2.560,20;2.621,40;0;0,00;20,40
31/01/2021;A;54148;609191;393506;Empréstimo;26/10/2020;2.560,20;2.580,60;0;0,00;10,20
31/01/2021;A;54209;411956;443257;Empréstimo;06/01/2021;867,00;877,20;0;0,00;10,20
31/01/2021;A;54278;587344;443564;Empréstimo;19/01/2021;877,20;887,40;0;0,00;20,40
31/01/2021;A;54737;567204;287124;Empréstimo;30/04/2020;214,20;224,40;273;224,40;132,60
31/01/2021;A;54772;185035;218099;Empréstimo;16/01/2020;3.967,80;3.080,40;0;0,00;10,20
31/01/2021;A;54789;273404;295327;Empréstimo;17/06/2020;4.314,60;3.865,80;0;0,00;20,40
31/01/2021;A;54793;226177;326310;Empréstimo;10/07/2020;102,00;102,00;0;0,00;10,20
31/01/2021;A;54802;283664;151492;Financiamento;07/03/2019;8.486,40;4.008,60;0;0,00;10,20
31/01/2021;A;54842;107028;445721;Empréstimo;08/01/2021;5.416,20;5.477,40;0;0,00;20,40
31/01/2021;A;55108;295218;160878;Financiamento;09/05/2019;8.486,40;5.875,20;0;0,00;20,40
31/01/2021;A;55143;412772;296616;Empréstimo;18/05/2020;1.285,20;1.162,80;9;1.162,80;275,40
31/01/2021;A;55994;372943;141748;Financiamento;14/12/2018;6.303,60;2.437,80;0;0,00;1.458,60
31/01/2021;A;55996;146196;400866;Financiamento;06/11/2020;5.171,40;5.242,80;0;0,00;30,60
31/01/2021;A;56177;547107;423702;Financiamento;07/12/2020;2.988,60;2.927,40;0;0,00;10,20
31/01/2021;A;56366;138577;383069;Empréstimo;14/10/2020;856,80;877,20;0;0,00;20,40
31/01/2021;A;56379;33699;249641;Financiamento;02/04/2020;8.904,60;7.792,80;0;0,00;20,40
31/01/2021;A;56753;554745;423896;Empréstimo;09/12/2020;2.417,40;2.244,00;0;0,00;10,20
31/01/2021;A;56869;278082;386190;Empréstimo;09/11/2020;8.537,40;7.833,60;0;0,00;142,80
31/01/2021;A;57115;407935;147438;Empréstimo;05/02/2019;5.089,80;3.243,60;0;0,00;10,20
31/01/2021;A;57427;236172;135413;Empréstimo;18/10/2018;3.743,40;1.244,40;19;1.244,40;10,20
31/01/2021;A;57505;594670;364082;Financiamento;14/09/2020;7.711,20;7.333,80;0;0,00;132,60
