COOPERATIVA;CPF;CONTA;CONTRATO;DSPRODUTO;DTCONTRATO;VLCONTRATO;VLPARCELA;QTPARCELAS
A;5959;185939;485040;Empréstimo;04/03/2021;4.498,20;122,40;48
A;6571;261834;172376;Empréstimo;22/07/2019;7.068,60;387,60;24
A;6914;427874;210053;Empréstimo;20/12/2019;275,40;10,20;36
A;6959;129163;440126;Empréstimo;05/01/2021;3.080,40;163,20;24
A;7029;115948;374565;Empréstimo;28/09/2020;3.417,00;112,20;36
A;7119;238695;582252;Empréstimo;17/06/2021;14.555,40;469,20;48
A;7128;627075;370079;Empréstimo;21/09/2020;193,80;30,60;6
A;7146;690253;710177;Empréstimo;29/11/2021;193,80;20,40;10
A;7169;331845;398263;Empréstimo;12/11/2020;8.323,20;183,60;120
A;7569;163632;678129;Empréstimo;14/10/2021;3.396,60;132,60;40
A;7885;553253;614460;Empréstimo;26/07/2021;6.660,60;214,20;48
A;7907;710734;613475;Empréstimo;26/07/2021;2.131,80;102,00;36
A;8104;171195;631185;Empréstimo;16/08/2021;2.550,00;142,80;24
A;8123;661128;448836;Empréstimo;15/01/2021;4.406,40;183,60;36
A;8189;333175;387961;Empréstimo;16/10/2020;11.954,40;357,00;48
A;8288;72753;699012;Empréstimo;18/11/2021;27.274,80;816,00;48
A;8718;376532;540413;Empréstimo;27/04/2021;2.182,80;204,00;12
A;8890;143435;657511;Financiamento;23/09/2021;4.273,80;91,80;59
A;9174;398993;242205;Empréstimo;18/03/2020;1.234,20;51,00;36
A;9259;425757;327379;Empréstimo;16/07/2020;1.030,20;51,00;36
A;9310;156090;662307;Empréstimo;23/09/2021;3.539,40;173,40;24
A;9468;719897;583968;Empréstimo;09/07/2021;3.947,40;193,80;24
A;9712;142058;273602;Empréstimo;13/04/2020;663,00;285,60;3
A;9783;155434;639818;Empréstimo;30/08/2021;1.315,80;71,40;24
A;9800;487533;403627;Empréstimo;09/11/2020;8.486,40;285,60;48
A;10428;248968;616659;Empréstimo;30/07/2021;3.519,00;142,80;36
A;10515;366352;715358;Financiamento;06/12/2021;2.131,80;102,00;24
A;10541;544222;645160;Empréstimo;01/09/2021;928,20;102,00;10
A;10597;175888;198870;Empréstimo;12/06/2020;3.243,60;102,00;48
A;10749;473458;652630;Financiamento;14/09/2021;4.569,60;153,00;48
A;10758;627474;623411;Empréstimo;06/08/2021;2.121,60;163,20;16
A;10854;217543;571020;Empréstimo;01/06/2021;3.641,40;81,60;58
A;10874;119810;199285;Empréstimo;14/11/2019;6.181,20;163,20;48
A;11069;242985;205491;Empréstimo;06/12/2019;3.539,40;112,20;48
A;11071;670834;417035;Empréstimo;30/11/2020;4.100,40;91,80;60
A;11158;259842;548958;Empréstimo;07/05/2021;438,60;40,80;12
A;11221;340007;242737;Empréstimo;20/03/2020;6.364,80;265,20;36
A;11302;449206;400328;Financiamento;05/11/2020;6.395,40;234,60;36
A;11312;318095;618940;Empréstimo;30/07/2021;887,40;102,00;10
A;11334;441817;162095;Empréstimo;13/05/2019;5.089,80;173,40;43
A;11431;607807;523869;Empréstimo;12/04/2021;295,80;40,80;13
A;11523;235498;370126;Empréstimo;21/09/2020;1.397,40;61,20;24
A;11542;193715;574611;Empréstimo;07/06/2021;948,60;112,20;10
A;11582;533682;156966;Empréstimo;11/04/2019;6.599,40;224,40;48
A;11773;644149;449541;Empréstimo;12/01/2021;1.764,60;71,40;36
A;11832;125765;105888;Empréstimo;14/05/2015;4.794,00;112,20;72
A;11969;280561;395329;Empréstimo;28/10/2020;2.131,80;81,60;36
A;12118;136959;464552;Empréstimo;05/02/2021;5.712,00;224,40;36
A;12121;425058;150856;Financiamento;14/08/2020;571,20;20,40;48
A;12232;357308;348970;Empréstimo;17/08/2020;2.601,00;71,40;48
A;12253;195446;177870;Empréstimo;13/08/2019;5.304,00;275,40;24
A;12261;234259;198101;Empréstimo;06/11/2019;2.856,00;91,80;36
A;12292;676428;535261;Financiamento;22/04/2021;6.395,40;224,40;40
A;12330;407354;278648;Financiamento;16/04/2020;8.527,20;326,40;36
A;12386;442488;576483;Empréstimo;10/06/2021;6.609,60;204,00;48
A;12421;609570;382377;Empréstimo;15/10/2020;8.578,20;295,80;48
A;12527;265802;126596;Empréstimo;31/07/2020;479,40;20,40;48
A;12532;675771;438330;Empréstimo;28/12/2020;2.131,80;71,40;48
A;12714;654373;583229;Financiamento;16/06/2021;2.988,60;132,60;30
A;12812;112896;138931;Empréstimo;28/11/2018;3.845,40;102,00;48
A;12902;447520;671045;Empréstimo;04/10/2021;8.486,40;285,60;48
A;13506;567794;649267;Empréstimo;06/09/2021;2.662,20;295,80;10
A;13523;295982;120569;Empréstimo;04/08/2020;6.579,00;183,60;60
A;13636;415543;252003;Empréstimo;02/04/2020;1.530,00;581,40;3
A;13722;660119;512356;Empréstimo;26/03/2021;1.315,80;61,20;36
A;13724;660121;603511;Empréstimo;14/07/2021;4.406,40;193,80;36
A;13901;449332;588635;Empréstimo;23/06/2021;1.866,60;102,00;20
A;14087;116669;207256;Empréstimo;09/12/2019;7.599,00;255,00;36
A;14100;136140;153318;Empréstimo;25/03/2019;21.338,40;571,20;48
A;14174;348459;326846;Empréstimo;17/08/2020;6.405,60;224,40;48
A;14406;348168;347868;Empréstimo;14/08/2020;3.814,80;142,80;36
A;14412;548257;683623;Empréstimo;22/10/2021;2.968,20;193,80;20
A;14543;391319;390804;Financiamento;23/10/2020;2.131,80;112,20;24
A;14770;210954;606937;Financiamento;26/07/2021;6.823,80;173,40;48
A;14837;312025;321158;Empréstimo;07/07/2020;255,00;20,40;12
A;14940;268487;180980;Empréstimo;27/08/2019;1.611,60;40,80;48
A;15283;685416;672021;Empréstimo;04/10/2021;2.223,60;102,00;36
A;15327;571054;192958;Empréstimo;17/10/2019;1.662,60;61,20;48
A;15363;434417;161859;Financiamento;14/05/2019;7.741,80;244,80;48
A;15661;201260;195714;Empréstimo;08/11/2019;8.812,80;255,00;48
A;15734;219729;646152;Empréstimo;01/09/2021;397,80;20,40;30
A;15740;219735;718038;Empréstimo;07/12/2021;448,80;20,40;36
A;15787;238992;193445;Empréstimo;21/10/2019;1.754,40;91,80;24
A;16235;369855;641124;Empréstimo;08/09/2021;1.958,40;102,00;24
A;16268;276063;271177;Empréstimo;14/04/2020;51,00;0,00;36
A;16344;221887;513628;Empréstimo;25/03/2021;163,20;20,40;10
A;16438;343261;482978;Empréstimo;02/03/2021;2.866,20;102,00;48
A;16458;383857;499431;Empréstimo;09/03/2021;2.182,80;193,80;12
A;16475;276742;209290;Empréstimo;16/12/2019;2.346,00;71,40;48
A;16520;382094;328305;Financiamento;23/12/2020;33.935,40;540,60;120
A;16715;700610;725519;Empréstimo;20/12/2021;2.672,40;91,80;48
A;16752;691838;675392;Financiamento;13/10/2021;13.005,00;346,80;60
A;16784;306778;183965;Empréstimo;11/09/2019;3.223,20;112,20;48
A;16926;427016;165721;Empréstimo;07/06/2019;2.366,40;122,40;24
A;16977;486134;255204;Empréstimo;01/10/2020;163,20;10,20;48
A;17016;829;264612;Empréstimo;08/04/2020;132,60;51,00;3
A;17123;710623;668922;Empréstimo;29/09/2021;1.764,60;102,00;24
A;17166;537146;715470;Financiamento;06/12/2021;4.263,60;153,00;48
A;17317;319386;505603;Financiamento;16/03/2021;8.486,40;244,80;48
A;17328;329643;635704;Empréstimo;20/08/2021;2.417,40;122,40;30
A;17660;575094;358486;Empréstimo;02/09/2020;2.988,60;153,00;24
A;18139;263316;590954;Empréstimo;25/06/2021;3.080,40;224,40;17
A;18240;649740;517736;Empréstimo;29/03/2021;663,00;30,60;36
A;18387;721344;403003;Empréstimo;09/11/2020;255,00;30,60;10
A;18445;163512;289074;Empréstimo;04/05/2020;12.801,00;428,40;36
A;19001;137989;414629;Financiamento;30/11/2020;4.263,60;122,40;48
A;19130;132772;288479;Empréstimo;06/05/2020;16.972,80;561,00;36
A;19374;493019;407151;Empréstimo;13/11/2020;40,80;40,80;12
A;19420;262200;147032;Empréstimo;01/03/2019;16.962,60;306,00;120
A;19545;455596;162412;Empréstimo;17/05/2019;816,00;30,60;36
A;19580;472216;601705;Financiamento;09/07/2021;6.395,40;193,80;48
A;19596;391333;412170;Financiamento;26/11/2020;15.065,40;540,60;36
A;19714;253488;149921;Financiamento;21/02/2019;2.988,60;112,20;36
A;19755;303930;668497;Empréstimo;28/09/2021;1.101,60;102,00;12
A;19997;695881;710228;Financiamento;29/11/2021;4.692,00;173,40;36
A;20134;159598;510423;Empréstimo;11/05/2021;877,20;30,60;36
A;20165;3180;394962;Empréstimo;09/11/2020;663,00;51,00;16
A;20544;193014;492236;Empréstimo;01/03/2021;2.182,80;183,60;12
A;20563;402774;417555;Empréstimo;30/11/2020;3.304,80;91,80;48
A;20651;713877;676306;Empréstimo;15/10/2021;663,00;40,80;24
A;20690;567514;410567;Financiamento;18/11/2020;1.071,00;71,40;18
A;20731;486906;543582;Empréstimo;30/04/2021;1.336,20;153,00;10
A;20796;394679;546675;Empréstimo;07/05/2021;26.897,40;907,80;48
A;20798;598219;673088;Financiamento;06/10/2021;2.009,40;91,80;30
A;20839;376211;175046;Empréstimo;25/07/2019;10.608,00;428,40;36
A;20854;504794;450613;Empréstimo;13/01/2021;8.782,20;469,20;24
A;20904;433051;355791;Empréstimo;28/08/2020;805,80;91,80;10
A;21015;729522;467034;Empréstimo;02/02/2021;1.764,60;51,00;36
A;21054;473237;440161;Financiamento;30/12/2020;8.486,40;224,40;60
A;21249;323519;227945;Empréstimo;10/02/2020;1.540,20;61,20;36
A;21334;186990;704942;Empréstimo;24/11/2021;16.615,80;714,00;48
A;21408;330473;326159;Empréstimo;10/07/2020;530,40;295,80;2
A;21648;585124;324563;Empréstimo;09/07/2020;3.967,80;132,60;48
A;21787;149529;397911;Empréstimo;30/10/2020;306,00;387,60;1
A;21853;137949;323299;Empréstimo;08/07/2020;2.815,20;91,80;48
A;21900;180401;382541;Financiamento;19/10/2020;8.486,40;244,80;48
A;21972;556176;574622;Empréstimo;07/06/2021;2.488,80;71,40;60
A;22016;401105;608924;Empréstimo;16/07/2021;4.243,20;142,80;48
A;22023;328373;535176;Empréstimo;20/04/2021;2.407,20;163,20;18
A;22333;161297;284611;Empréstimo;27/04/2020;2.131,80;102,00;24
A;22336;427726;353723;Empréstimo;27/08/2020;2.937,60;122,40;36
A;22495;558324;267197;Empréstimo;08/04/2020;20,40;10,20;2
A;22627;385115;182334;Empréstimo;03/09/2019;703,80;20,40;36
A;22730;641484;344858;Financiamento;13/08/2020;8.680,20;224,40;60
A;22784;368787;336566;Empréstimo;27/07/2020;428,40;40,80;12
A;23098;95036;679325;Financiamento;15/10/2021;5.120,40;479,40;12
A;23266;345167;355346;Financiamento;26/11/2020;72.114,00;1.234,20;120
A;23299;137615;687796;Empréstimo;03/11/2021;3.182,40;91,80;48
A;23300;137616;148879;Empréstimo;14/02/2019;3.519,00;91,80;48
A;23353;522288;632869;Empréstimo;17/08/2021;12.729,60;520,20;34
A;23413;4443;263739;Empréstimo;07/04/2020;867,00;30,60;48
A;23491;356698;136456;Empréstimo;18/06/2020;387,60;20,40;36
A;23570;318481;583747;Empréstimo;16/06/2021;4.396,20;163,20;36
A;23646;261478;337882;Empréstimo;17/11/2020;275,40;10,20;60
A;23708;173450;664973;Empréstimo;27/09/2021;887,40;40,80;24
A;23812;228594;585086;Empréstimo;17/06/2021;5.936,40;193,80;48
A;23971;268196;622931;Empréstimo;05/08/2021;2.203,20;91,80;36
A;24033;186241;328848;Empréstimo;15/07/2020;5.548,80;163,20;48
A;24197;156719;444923;Empréstimo;07/01/2021;5.293,80;142,80;60
A;24275;139590;148290;Empréstimo;19/02/2019;3.661,80;91,80;48
A;24374;563855;588355;Empréstimo;22/06/2021;8.486,40;285,60;48
A;24432;124216;184945;Empréstimo;16/09/2019;7.711,20;214,20;48
A;24478;331683;626545;Empréstimo;10/08/2021;5.518,20;173,40;48
A;24482;329950;214394;Financiamento;15/04/2020;127.438,80;1.662,60;240
A;24596;177260;719300;Empréstimo;09/12/2021;2.968,20;102,00;48
A;24791;255576;602635;Empréstimo;09/07/2021;244,80;40,80;6
A;24855;398493;513468;Empréstimo;25/03/2021;204,00;20,40;10
A;24858;297245;720254;Empréstimo;13/12/2021;1.754,40;71,40;36
A;25002;120779;390177;Empréstimo;20/10/2020;1.275,00;51,00;36
A;25082;192202;504870;Empréstimo;15/03/2021;6.589,20;326,40;24
A;25083;254830;241954;Empréstimo;07/04/2020;5.885,40;193,80;36
A;25118;721645;143018;Empréstimo;28/12/2018;5.518,20;204,00;36
A;25249;364159;355705;Empréstimo;28/08/2020;204,00;20,40;10
A;25251;239669;201445;Empréstimo;22/11/2019;1.642,20;61,20;36
A;25354;528739;577864;Financiamento;11/06/2021;8.486,40;550,80;18
A;25511;132391;295265;Empréstimo;18/05/2020;4.681,80;122,40;48
A;25647;471334;133565;Empréstimo;05/09/2018;7.935,60;295,80;48
A;25763;706996;689087;Empréstimo;01/11/2021;1.030,20;112,20;10
A;25768;636491;361981;Financiamento;11/09/2020;8.904,60;265,20;48
A;25869;229996;282498;Empréstimo;23/04/2020;785,40;214,20;4
A;25927;720814;181374;Empréstimo;28/08/2019;7.038,00;255,00;38
A;25974;612352;352138;Empréstimo;26/08/2020;3.417,00;112,20;36
A;26038;380625;123780;Empréstimo;24/04/2018;6.364,80;183,60;60
A;26078;129390;606213;Empréstimo;16/07/2021;1.101,60;40,80;36
A;26128;700765;644592;Empréstimo;01/09/2021;459,00;51,00;10
A;26135;415699;160652;Empréstimo;06/05/2019;4.457,40;183,60;36
A;26280;266589;398338;Financiamento;05/11/2020;5.926,20;214,20;36
A;26375;477913;492845;Financiamento;02/06/2021;85.363,80;1.183,20;180
A;26391;610837;522967;Empréstimo;06/04/2021;805,80;91,80;10
A;26560;424980;546686;Empréstimo;06/05/2021;479,40;591,60;1
A;26789;318907;367572;Empréstimo;16/09/2020;4.263,60;336,60;15
A;26791;621297;500064;Empréstimo;10/03/2021;2.203,20;81,60;36
A;27093;642148;348656;Empréstimo;17/08/2020;2.131,80;204,00;12
A;27235;537039;287361;Empréstimo;30/04/2020;234,60;30,60;10
A;27290;213558;192236;Financiamento;14/10/2019;8.904,60;275,40;48
A;27455;196018;261238;Empréstimo;07/04/2020;846,60;265,20;4
A;27654;523735;152602;Empréstimo;04/09/2020;2.182,80;91,80;36
A;27769;559792;232686;Financiamento;14/05/2020;1.275,00;51,00;36
A;27772;649154;463799;Empréstimo;29/01/2021;1.203,60;132,60;10
A;28235;295806;349592;Empréstimo;27/08/2020;17.380,80;622,20;48
A;28350;535508;213837;Empréstimo;06/01/2020;1.315,80;71,40;24
A;28417;163752;253406;Empréstimo;03/04/2020;867,00;336,60;3
A;28428;619523;600720;Empréstimo;07/07/2021;4.396,20;244,80;24
A;28443;679710;655631;Financiamento;17/11/2021;4.263,60;326,40;16
A;28555;418645;138613;Financiamento;08/11/2018;846,60;40,80;24
A;28589;659224;381952;Empréstimo;07/10/2020;510,00;30,60;24
A;28630;347259;205182;Empréstimo;04/12/2019;1.142,40;30,60;48
A;28686;663704;515436;Empréstimo;29/03/2021;1.509,60;153,00;12
A;28695;264578;281853;Empréstimo;22/04/2020;40,80;51,00;1
A;28776;702632;563485;Financiamento;24/05/2021;2.131,80;81,60;36
A;28932;145178;274953;Empréstimo;14/04/2020;989,40;387,60;3
A;29011;500334;328842;Empréstimo;17/07/2020;1.652,40;91,80;24
A;29041;305963;278793;Empréstimo;16/04/2020;122,40;51,00;3
A;29109;426564;432191;Empréstimo;21/12/2020;3.845,40;132,60;48
A;29152;350027;574277;Empréstimo;07/06/2021;2.550,00;91,80;48
A;29414;692957;730496;Empréstimo;28/12/2021;1.346,40;153,00;10
A;29431;156482;527107;Empréstimo;12/04/2021;2.754,00;224,40;14
A;29539;355145;178109;Financiamento;12/08/2019;2.468,40;91,80;36
A;29565;487106;406887;Empréstimo;13/11/2020;6.405,60;214,20;48
A;29591;276593;182810;Empréstimo;10/09/2019;3.988,20;163,20;36
A;29686;478538;698285;Empréstimo;09/11/2021;4.579,80;214,20;36
A;29835;348911;127609;Empréstimo;29/05/2018;7.762,20;265,20;48
A;29874;412037;191670;Empréstimo;14/10/2019;4.396,20;173,40;36
A;30032;558691;702920;Empréstimo;18/11/2021;448,80;20,40;24
A;30123;290010;115684;Empréstimo;31/08/2015;9.118,80;214,20;72
A;30189;392344;322735;Empréstimo;07/07/2020;6.364,80;204,00;48
A;30393;715118;732816;Empréstimo;28/12/2021;1.040,40;122,40;10
A;30418;198159;338482;Empréstimo;30/07/2020;7.721,40;234,60;48
A;30484;675249;663873;Empréstimo;27/09/2021;4.447,20;153,00;36
A;30786;628832;475491;Empréstimo;10/02/2021;2.203,20;91,80;36
A;30951;130416;247601;Empréstimo;01/04/2020;2.958,00;1.876,80;3
A;31024;431214;434413;Empréstimo;21/12/2020;2.988,60;122,40;30
A;31029;395866;395267;Empréstimo;27/10/2020;6.915,60;244,80;36
A;31306;171492;119182;Empréstimo;25/09/2017;4.457,40;112,20;72
A;31471;591263;349436;Empréstimo;17/08/2020;12.729,60;387,60;48
A;31481;336507;349762;Financiamento;04/09/2020;1.825,80;61,20;48
A;31523;270953;328341;Empréstimo;14/07/2020;244,80;153,00;2
A;31842;425801;274856;Financiamento;17/04/2020;4.508,40;142,80;48
A;31844;179434;428330;Empréstimo;14/12/2020;6.364,80;214,20;48
A;31895;440344;230174;Empréstimo;14/02/2020;1.672,80;61,20;36
A;32120;123542;314799;Empréstimo;30/06/2020;11.526,00;306,00;60
A;32177;647177;413206;Empréstimo;25/11/2020;357,00;61,20;6
A;32392;283393;696810;Empréstimo;08/11/2021;2.121,60;183,60;14
A;32394;589957;341844;Empréstimo;05/08/2020;7.935,60;244,80;48
A;32527;158174;219134;Empréstimo;17/01/2020;438,60;20,40;30
A;32530;158177;177062;Empréstimo;07/08/2019;938,40;30,60;36
A;32622;518907;151107;Empréstimo;01/03/2019;887,40;30,60;36
A;32713;301460;592804;Financiamento;29/06/2021;4.263,60;122,40;60
A;32800;283095;605075;Empréstimo;13/07/2021;265,20;20,40;12
A;33092;490423;379500;Empréstimo;05/10/2020;346,80;10,20;36
A;33156;455634;361087;Empréstimo;16/09/2020;6.487,20;224,40;48
A;33247;197443;332342;Empréstimo;20/07/2020;2.274,60;71,40;48
A;33280;699087;713064;Empréstimo;30/11/2021;520,20;61,20;10
A;33500;501901;451248;Financiamento;14/01/2021;2.988,60;275,40;12
A;33526;306568;502701;Empréstimo;12/03/2021;2.295,00;71,40;48
A;33543;117594;492712;Empréstimo;01/03/2021;4.977,60;132,60;48
A;33631;98941;136847;Empréstimo;19/10/2018;7.670,40;234,60;48
A;33636;160859;282542;Empréstimo;27/04/2020;2.845,80;91,80;36
A;33923;130713;653849;Empréstimo;13/09/2021;1.978,80;71,40;36
A;33942;318840;369024;Empréstimo;18/09/2020;6.364,80;326,40;24
A;34182;208475;554207;Empréstimo;14/05/2021;11.026,20;326,40;48
A;34219;155155;527718;Financiamento;16/04/2021;8.486,40;214,20;48
A;34354;614650;441276;Empréstimo;04/01/2021;6.599,40;265,20;36
A;34452;620426;430508;Empréstimo;16/12/2020;3.366,00;183,60;24
A;34456;76566;82561;Financiamento;07/06/2013;15.269,40;285,60;120
A;34725;204446;168060;Empréstimo;17/06/2019;510,00;20,40;36
A;34918;211020;687744;Empréstimo;29/10/2021;15.126,60;408,00;48
A;35168;640890;381385;Empréstimo;08/10/2020;9.282,00;204,00;60
A;35207;97417;636943;Empréstimo;26/08/2021;19.206,60;591,60;48
A;35474;484432;652862;Financiamento;16/09/2021;1.795,20;91,80;24
A;35571;180276;705310;Empréstimo;22/11/2021;2.223,60;91,80;36
A;36157;722449;342417;Empréstimo;05/08/2020;969,00;112,20;18
A;36239;577437;629510;Empréstimo;18/08/2021;1.499,40;81,60;24
A;36634;497768;221024;Empréstimo;24/01/2020;7.894,80;530,40;18
A;36640;370266;264366;Empréstimo;08/04/2020;112,20;40,80;3
A;36744;684327;573901;Empréstimo;07/06/2021;856,80;61,20;15
A;36758;478447;187463;Empréstimo;26/09/2019;877,20;51,00;24
A;36799;401764;372767;Empréstimo;24/09/2020;418,20;520,20;1
A;36835;452985;568184;Empréstimo;31/05/2021;12.729,60;408,00;48
A;36954;518268;159304;Empréstimo;24/04/2019;12.260,40;387,60;48
A;37074;227154;661429;Empréstimo;23/09/2021;6.354,60;255,00;48
A;37199;228754;148083;Financiamento;14/02/2019;5.548,80;173,40;48
A;37201;197391;174493;Financiamento;24/07/2019;6.395,40;336,60;24
A;37352;155679;314240;Financiamento;22/06/2020;4.926,60;153,00;48
A;37394;603978;550454;Empréstimo;10/05/2021;153,00;10,20;12
A;37477;166366;559376;Empréstimo;18/05/2021;2.203,20;81,60;36
A;37547;465538;225956;Empréstimo;05/02/2020;438,60;20,40;36
A;37733;464146;588820;Empréstimo;24/06/2021;8.639,40;326,40;48
A;37758;712397;710943;Empréstimo;29/11/2021;1.142,40;132,60;10
A;37984;648877;601576;Empréstimo;08/07/2021;4.396,20;204,00;36
A;38098;462212;297836;Empréstimo;22/05/2020;4.906,20;153,00;48
A;38398;253069;347880;Empréstimo;18/08/2020;2.386,80;122,40;24
A;38481;592029;507965;Empréstimo;18/03/2021;81,60;0,00;36
A;38485;592033;512894;Empréstimo;25/03/2021;112,20;0,00;36
A;38552;671577;600274;Empréstimo;06/07/2021;1.540,20;71,40;36
A;38560;415277;190380;Financiamento;10/10/2019;4.804,20;153,00;48
A;38630;368294;677448;Empréstimo;15/10/2021;3.559,80;153,00;36
A;38640;476632;697435;Empréstimo;12/11/2021;8.914,80;377,40;48
A;38641;502637;267500;Empréstimo;08/04/2020;1.071,00;448,80;3
A;38708;572581;727923;Financiamento;22/12/2021;3.417,00;326,40;12
A;38728;160534;263766;Empréstimo;07/04/2020;765,00;20,40;60
A;38951;479623;153054;Empréstimo;18/03/2019;571,20;20,40;35
A;38969;471877;304213;Empréstimo;29/05/2020;61,20;10,20;10
A;38998;458899;243323;Empréstimo;24/03/2020;6.538,20;622,20;12
A;39157;588986;463061;Empréstimo;28/01/2021;2.845,80;91,80;48
A;39369;578013;287490;Empréstimo;30/04/2020;30,60;0,00;10
A;39815;323198;420799;Empréstimo;03/12/2020;673,20;30,60;36
A;39903;223413;284338;Empréstimo;27/04/2020;3.417,00;71,40;60
A;39911;431370;313536;Empréstimo;22/06/2020;7.680,60;234,60;48
A;39964;583445;419461;Empréstimo;01/12/2020;1.764,60;71,40;36
A;40013;553832;620123;Empréstimo;02/08/2021;4.059,60;132,60;48
A;40058;491579;602750;Empréstimo;15/07/2021;652,80;61,20;12
A;40059;491580;712207;Empréstimo;30/11/2021;673,20;81,60;10
A;40100;487522;199866;Empréstimo;14/11/2019;8.486,40;326,40;48
A;40102;487524;596651;Empréstimo;05/07/2021;17.615,40;663,00;48
A;40164;351350;293101;Empréstimo;11/05/2020;20,40;10,20;2
A;40197;145678;326014;Empréstimo;10/07/2020;397,80;244,80;2
A;40304;334134;505370;Empréstimo;15/03/2021;4.243,20;265,20;19
A;40323;138789;169980;Financiamento;28/06/2019;5.253,00;163,20;48
A;40337;727079;425479;Financiamento;26/03/2021;78.968,40;1.030,20;240
A;40340;232698;250651;Empréstimo;02/04/2020;1.611,60;673,20;3
A;40486;516364;149119;Financiamento;19/02/2019;8.486,40;265,20;48
A;40603;411301;351605;Financiamento;09/09/2020;8.680,20;295,80;48
A;40752;374866;591489;Empréstimo;25/06/2021;1.315,80;71,40;20
A;40999;218758;116245;Empréstimo;26/08/2016;10.393,80;346,80;60
